Source,D:/Repositorios/PonchoDeBiopotenciales/Hardware/PonchoBiopotenciales.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,27/01/2018 11:55:42

Title,Poncho de Adquisición de Biopotenciales
Company,FIUNER
Revision,1.1
Date Issue,lun 05 oct 2015
Comment,Bruno Javier Cesario - Gonzalo Cuenca - Eduardo Filomena (FIUNER)

Reference,Value,Descripción,Fabricante,Nro de parte,Digikey,Footprint,Código Digikey,Library,Library Ref
G2,OSHWA,PonchoBiopotenciales,OSHWA
G1,Logo_Poncho,PonchoBiopotenciales,Logo_Poncho
U14,OPA2376,IC OPAMP GP 5.5MHZ RRO 8SOIC,Texas Instruments,OPA2376AIDR,296-22564-1-ND,8-SOIC (0.154", 3.90mm Width),,PonchoBiopotenciales,OPA2376
R21,10k,RES SMD 10K OHM 5% 1/8W 0805,Yageo,RC0805JR-0710KL,311-10KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
C36,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C37,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
JP3,JUMPER3,CONN HEADER VERT SGL 20POS GOLD,3M,961120-6404-AR,3M9457-20-ND,,,PonchoBiopotenciales,JUMPER3
R23,0,RES SMD 0 OHM JUMPER 1/8W 0805,Yageo,RC0805JR-070RL,311-0.0ARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R22,0,RES SMD 0 OHM JUMPER 1/8W 0805,Yageo,RC0805JR-070RL,311-0.0ARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
C38,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
R24,0,RES SMD 0 OHM JUMPER 1/8W 0805,Yageo,RC0805JR-070RL,311-0.0ARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
JP4,JUMPER3,CONN HEADER VERT SGL 20POS GOLD,3M,961120-6404-AR,3M9457-20-ND,,,PonchoBiopotenciales,JUMPER3
C39,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C40,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
J2,IOs Multipropósito,CONN HEADER VERT SGL 20POS GOLD,3M,961120-6404-AR,3M9457-20-ND,,,PonchoBiopotenciales,CONN_01X05
Jumper_STD1,J_STD,PonchoBiopotenciales,J_STD
Jumper_Config1,J_CFG,PonchoBiopotenciales,J_CFG
C31,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C32,10uF,CAP CER 10UF 25V X5R 0805,Murata Electronics North America,GRM219R61E106KA12D,490-7207-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
U11,ADuM6401,DGTL ISO 5KV 4CH GEN PURP 16SOIC,Analog Devices Inc,ADUM6401CRWZ,ADUM6401CRWZ-ND,16-SOIC (0.295", 7.50mm Width)	,,PonchoBiopotenciales,ADuM6401-RESCUE-PonchoERG
U12,ADuM2401,DGTL ISO 5KV 4CH GEN PURP 16SOIC,Analog Devices Inc.,ADUM2401ARWZ-RL,ADUM2401ARWZ-RLCT-ND,16-SOIC (0.295", 7.50mm Width),,PonchoBiopotenciales,ADuM2401
XA1,Conn_Poncho2P_2x_20x2,CONN HEADER .100" DUAL STR 40POS,Sullins Connector Solutions,PRPC020DAAN-RC,S2011EC-20-ND,,,PonchoBiopotenciales,Conn_Poncho2P_2x_20x2
C43,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C44,10uF,CAP CER 10UF 25V X5R 0805,Murata Electronics North America,GRM219R61E106KA12D,490-7207-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C45,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
SC_2,Slot_2,PonchoBiopotenciales,Fiducial
SC_1,Slot_1,PonchoBiopotenciales,Fiducial
R28,1k,RES SMD 1K OHM 5% 1/8W 0805,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R29,1k,RES SMD 1K OHM 5% 1/8W 0805,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R30,1k,RES SMD 1K OHM 5% 1/8W 0805,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R31,1.8k,RES SMD 1.8K OHM 5% 1/8W 0805,Yageo,RC0805JR-071K8L,311-1.8KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R32,1.8k,RES SMD 1.8K OHM 5% 1/8W 0805,Yageo,RC0805JR-071K8L,311-1.8KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R35,1.8k,RES SMD 1.8K OHM 5% 1/8W 0805,Yageo,RC0805JR-071K8L,311-1.8KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
R34,1k,RES SMD 1K OHM 5% 1/8W 0805,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
